Mean color of all country flags (R, G, B)
sb: [0.1822156862745098, 0.4027450980392157, 0.43586274509803924]
ws: [0.6149411764705882, 0.09954901960784314, 0.24082352941176471]
as: [0.418921568627451, 0.33515686274509804, 0.5278235294117647]
st: [0.453921568627451, 0.6146274509803922, 0.11549019607843138]
sn: [0.6033634992458522, 0.5113725490196078, 0.21360482654600302]
rs: [0.6705429864253394, 0.5058371040723982, 0.5543438914027149]
sc: [0.6124117647058823, 0.4852549019607843, 0.4071372549019608]
sl: [0.37254901960784315, 0.7188838612368024, 0.6679034690799397]
sg: [0.9666214177978883, 0.6029713423831071, 0.6326244343891403]
sk: [0.719260935143288, 0.4638009049773756, 0.5651131221719456]
si: [0.660921568627451, 0.44607843137254904, 0.6278235294117647]
so: [0.2918099547511312, 0.5601206636500754, 0.8732277526395174]
sd: [0.48533333333333334, 0.33488235294117646, 0.32872549019607844]
ss: [0.2643921568627451, 0.2905686274509804, 0.2785686274509804]
lk: [0.713078431372549, 0.43070588235294116, 0.1681764705882353]
se: [0.2923378582202112, 0.5279939668174962, 0.46244343891402717]
ch: [1.0, 0.19937254901960785, 0.19937254901960785]
sr: [0.5752639517345399, 0.43520361990950224, 0.36742081447963804]
sj: [0.7567058823529412, 0.3163921568627451, 0.3726013071895425]
sz: [0.5307541478129714, 0.34953242835595777, 0.37030165912518853]
tj: [0.6574509803921569, 0.5389411764705883, 0.41062745098039216]
tw: [0.7784162895927602, 0.03149321266968326, 0.15911010558069383]
tz: [0.15321266968325792, 0.49027149321266966, 0.3271342383107089]
td: [0.5909803921568627, 0.3305882352941176, 0.19333333333333333]
cz: [0.7076621417797888, 0.47194570135746605, 0.5367420814479638]
tf: [0.1590346907993967, 0.2326395173453997, 0.6104826546003017]
th: [0.5922171945701358, 0.4065761689291101, 0.48380090497737555]
tl: [0.7517058823529412, 0.19358823529411764, 0.12441176470588235]
tg: [0.5102287581699346, 0.48965686274509806, 0.20720588235294118]
tk: [0.2832156862745098, 0.3244313725490196, 0.30501960784313725]
to: [0.798, 0.16931372549019608, 0.16931372549019608]
tt: [0.6952777777777778, 0.17282679738562093, 0.246421568627451]
tn: [0.9153242835595776, 0.10048265460030166, 0.1671794871794872]
tm: [0.12170437405731524, 0.4827149321266968, 0.24098039215686273]
tc: [0.20433333333333334, 0.2515686274509804, 0.42054901960784313]
tr: [0.8973303167420814, 0.101236802413273, 0.14891402714932125]
tv: [0.19380392156862744, 0.5478039215686274, 0.6882745098039216]
ua: [0.5001508295625943, 0.596078431372549, 0.3665158371040724]
uy: [0.625475113122172, 0.6932730015082956, 0.8248114630467571]
vu: [0.3630392156862745, 0.2873366013071895, 0.152140522875817]
ve: [0.6241478129713424, 0.3569683257918552, 0.22941176470588234]
vn: [0.8647058823529412, 0.20301659125188537, 0.10576168929110105]
wf: [0.8876923076923077, 0.2411764705882353, 0.31817496229260933]
ye: [0.602684766214178, 0.3553242835595777, 0.38277526395173456]
zm: [0.2359426847662142, 0.4623378582202112, 0.004268476621417798]
zw: [0.5735098039215686, 0.44213725490196076, 0.13376470588235295]
